GAME_DATE,METRIC_TYPE,METRIC_VALUE,TEAM_ID,TEAM_NAME
2026-01-04,TEAM,0.5945945945945946,1610612739.0,Cleveland Cavaliers
2026-01-04,TEAM,0.5588235294117647,1610612765.0,Detroit Pistons
2026-01-04,TEAM,0.5833333333333334,1610612748.0,Miami Heat
2026-01-04,TEAM,0.7297297297297297,1610612740.0,New Orleans Pelicans
2026-01-04,TEAM,0.5757575757575758,1610612747.0,Los Angeles Lakers
2026-01-04,TEAM,0.7142857142857143,1610612763.0,Memphis Grizzlies
2026-01-04,TEAM,0.5714285714285714,1610612756.0,Phoenix Suns
2026-01-04,TEAM,0.8571428571428571,1610612760.0,Oklahoma City Thunder
2026-01-04,TEAM,0.6764705882352942,1610612764.0,Washington Wizards
2026-01-04,TEAM,0.6666666666666666,1610612750.0,Minnesota Timberwolves
2026-01-04,TEAM,0.8055555555555556,1610612758.0,Sacramento Kings
2026-01-04,TEAM,0.6111111111111112,1610612749.0,Milwaukee Bucks
2026-01-05,TEAM,0.6285714285714286,1610612746.0,LA Clippers
2026-01-05,TEAM,0.5945945945945946,1610612744.0,Golden State Warriors
2026-01-05,TEAM,0.5714285714285714,1610612765.0,Detroit Pistons
2026-01-05,TEAM,0.8,1610612752.0,New York Knicks
2026-01-05,TEAM,0.4594594594594595,1610612757.0,Portland Trail Blazers
2026-01-05,TEAM,0.6857142857142857,1610612762.0,Utah Jazz
2026-01-05,TEAM,0.5757575757575758,1610612745.0,Houston Rockets
2026-01-05,TEAM,0.5833333333333334,1610612756.0,Phoenix Suns
2026-01-05,TEAM,0.6571428571428571,1610612738.0,Boston Celtics
2026-01-05,TEAM,0.5,1610612741.0,Chicago Bulls
2026-01-05,TEAM,0.7352941176470589,1610612755.0,Philadelphia 76ers
2026-01-05,TEAM,0.5833333333333334,1610612743.0,Denver Nuggets
2026-01-05,TEAM,0.5945945945945946,1610612761.0,Toronto Raptors
2026-01-05,TEAM,0.5789473684210527,1610612737.0,Atlanta Hawks
2026-01-05,TEAM,0.8333333333333334,1610612760.0,Oklahoma City Thunder
2026-01-05,TEAM,0.5555555555555556,1610612766.0,Charlotte Hornets
2026-01-06,TEAM,0.7297297297297297,1610612754.0,Indiana Pacers
2026-01-06,TEAM,0.6052631578947368,1610612739.0,Cleveland Cavaliers
2026-01-06,TEAM,0.7368421052631579,1610612740.0,New Orleans Pelicans
2026-01-06,TEAM,0.5882352941176471,1610612747.0,Los Angeles Lakers
2026-01-06,TEAM,0.8108108108108109,1610612758.0,Sacramento Kings
2026-01-06,TEAM,0.5555555555555556,1610612742.0,Dallas Mavericks
2026-01-06,TEAM,0.6571428571428571,1610612764.0,Washington Wizards
2026-01-06,TEAM,0.5555555555555556,1610612753.0,Orlando Magic
2026-01-06,TEAM,0.6756756756756757,1610612750.0,Minnesota Timberwolves
2026-01-06,TEAM,0.5945945945945946,1610612748.0,Miami Heat
2026-01-06,TEAM,0.6944444444444444,1610612763.0,Memphis Grizzlies
2026-01-06,TEAM,0.6285714285714286,1610612759.0,San Antonio Spurs
2026-01-07,TEAM,0.8378378378378378,1610612760.0,Oklahoma City Thunder
2026-01-07,TEAM,0.6944444444444444,1610612762.0,Utah Jazz
2026-01-07,TEAM,0.5882352941176471,1610612751.0,Brooklyn Nets
2026-01-07,TEAM,0.5675675675675675,1610612753.0,Orlando Magic
2026-01-07,TEAM,0.6388888888888888,1610612759.0,San Antonio Spurs
2026-01-07,TEAM,0.6,1610612747.0,Los Angeles Lakers
2026-01-07,TEAM,0.7428571428571429,1610612755.0,Philadelphia 76ers
2026-01-07,TEAM,0.6666666666666666,1610612764.0,Washington Wizards
2026-01-07,TEAM,0.5897435897435898,1610612737.0,Atlanta Hawks
2026-01-07,TEAM,0.7435897435897436,1610612740.0,New Orleans Pelicans
2026-01-07,TEAM,0.6756756756756757,1610612763.0,Memphis Grizzlies
2026-01-07,TEAM,0.5675675675675675,1610612756.0,Phoenix Suns
2026-01-07,TEAM,0.6388888888888888,1610612738.0,Boston Celtics
2026-01-07,TEAM,0.5675675675675675,1610612743.0,Denver Nuggets
2026-01-07,TEAM,0.5833333333333334,1610612765.0,Detroit Pistons
2026-01-07,TEAM,0.5135135135135135,1610612741.0,Chicago Bulls
2026-01-07,TEAM,0.47368421052631576,1610612757.0,Portland Trail Blazers
2026-01-07,TEAM,0.5882352941176471,1610612745.0,Houston Rockets
2026-01-07,TEAM,0.5405405405405406,1610612766.0,Charlotte Hornets
2026-01-07,TEAM,0.5789473684210527,1610612761.0,Toronto Raptors
2026-01-07,TEAM,0.6052631578947368,1610612744.0,Golden State Warriors
2026-01-07,TEAM,0.6216216216216216,1610612749.0,Milwaukee Bucks
2026-01-07,TEAM,0.8055555555555556,1610612752.0,New York Knicks
2026-01-07,TEAM,0.6388888888888888,1610612746.0,LA Clippers
2026-01-08,TEAM,0.5263157894736842,1610612766.0,Charlotte Hornets
2026-01-08,TEAM,0.7105263157894737,1610612754.0,Indiana Pacers
2026-01-08,TEAM,0.6756756756756757,1610612762.0,Utah Jazz
2026-01-08,TEAM,0.5405405405405406,1610612742.0,Dallas Mavericks
2026-01-08,TEAM,0.6842105263157895,1610612750.0,Minnesota Timberwolves
2026-01-08,TEAM,0.6153846153846154,1610612739.0,Cleveland Cavaliers
2026-01-09,TEAM,0.5833333333333334,1610612747.0,Los Angeles Lakers
2026-01-09,TEAM,0.6052631578947368,1610612749.0,Milwaukee Bucks
2026-01-09,TEAM,0.5789473684210527,1610612756.0,Phoenix Suns
2026-01-09,TEAM,0.8108108108108109,1610612752.0,New York Knicks
2026-01-09,TEAM,0.6153846153846154,1610612744.0,Golden State Warriors
2026-01-09,TEAM,0.8157894736842105,1610612758.0,Sacramento Kings
2026-01-09,TEAM,0.5526315789473685,1610612753.0,Orlando Magic
2026-01-09,TEAM,0.7222222222222222,1610612755.0,Philadelphia 76ers
